id,username,Gender,email,Country,Age,Business or personal,days since ac creation,days since last tweet,days since last login,#of Tweets,#of Tweets / day,Facebook member?,Pinterest member?,Instagram member?,use twitter for authorization?,Profile pic?,Profile description?,# Following,# of Followers,Mobile
88,awilliams38,F,bolson2f@webs.com,Chad,22,personal,948,30,16,1999,2,1,0,1,1,0,0,967,597,1
707,pevansos,F,mjamesjm@tinyurl.com,Spain,29,business,343,25,8,829,3,1,0,0,1,0,1,356,161,0
79,chudson9l,F,sramos26@cmu.edu,Ecuador,19,personal,204,1,1,303,1,1,0,1,0,1,1,619,128,1
679,pbellg3,F,rleeiu@slashdot.org,Kazakhstan,19,personal,480,31,8,1057,2,1,0,0,1,1,0,499,211,1
967,eevansfe,M,tthomasqu@hubpages.com,Ireland,18,personal,546,18,9,1399,3,0,0,1,1,1,1,1120,257,0
28,lpierce8h,M,pgutierrezr@mediafire.com,Colombia,20,personal,285,2,1,446,2,0,0,0,0,1,1,581,125,0
802,jjohnsonp8,M,spricem9@china.com.cn,Sweden,29,business,2423,29,14,5646,2,1,0,0,1,1,0,7293,1090,1
668,jfisherne,F,tphillipsij@marriott.com,Russia,21,personal,2263,28,13,6564,3,1,0,1,1,0,1,2331,951,1
962,medwardso1,F,cwallaceqp@cyberchimps.com,Russia,18,personal,1453,10,9,4135,3,1,0,1,1,0,1,2978,654,1
750,acoleaz,M,kparkerkt@wikia.com,Georgia,26,business,462,2,0,1246,3,0,0,0,1,1,1,1409,203,1
602,lturner6p,M,ptaylorgp@geocities.jp,China,24,personal,1068,18,17,2716,3,0,0,1,1,1,1,3236,299,1
50,krossol,M,rgordon1d@usgs.gov,South Korea,30,personal,306,6,6,876,3,1,0,1,1,1,1,309,138,1
977,mdixon8d,F,ktaylorr4@exblog.jp,China,21,personal,680,21,19,677,1,1,0,1,1,1,1,1395,456,1
800,agonzalezeb,F,hbowmanm7@plala.or.jp,Indonesia,23,personal,327,27,11,409,1,0,1,1,1,1,1,997,199,0
241,jrobertsonqk,M,kharris6o@1week.com,United States,27,personal,357,19,11,426,1,1,0,0,1,1,1,1075,164,1
583,staylor6m,F,pfernandezg6@engadget.com,China,22,personal,1036,7,2,1567,2,1,1,1,1,1,0,2124,290,1
501,rstephensdj,F,dtaylordw@howstuffworks.com,Indonesia,30,personal,361,14,13,556,2,1,0,1,1,0,0,729,90,1
399,hkelleyl7,F,cmooreb2@google.nl,Portugal,27,personal,1362,17,7,2521,2,0,0,0,1,1,1,2766,599,0
966,cbrooks17,M,jhuntqt@senate.gov,Australia,20,business,963,26,5,2220,2,1,0,0,1,1,1,2908,597,1
641,kdeanlg,F,thunterhs@lycos.com,Portugal,28,personal,1882,9,4,3750,2,1,0,1,1,1,1,5683,470,0
856,mpattersonlq,F,dallennr@ustream.tv,Portugal,19,personal,312,19,11,623,2,1,1,1,1,1,1,318,147,0
696,tjacobsok,M,fstewartjb@shutterfly.com,South Africa,28,business,223,27,7,316,2,1,0,0,1,1,0,457,58,0
728,jpriceg4,M,jtorresk7@edublogs.org,Kazakhstan,25,personal,830,11,4,1378,2,0,0,0,1,1,0,863,365,1
963,jvasquez2q,M,jjacobsqq@biblegateway.com,Brazil,19,business,381,26,13,787,2,1,0,0,1,0,1,769,179,1
986,bhawkinso4,M,hmorenord@comcast.net,Russia,30,personal,844,29,21,2385,3,1,1,0,1,1,1,2549,236,0
402,jwalkerjj,F,athompsonb5@scribd.com,Philippines,30,personal,1299,25,2,2003,2,1,0,1,1,0,1,3910,818,1
623,bbowmanoq,M,rfowlerha@google.es,Spain,28,personal,635,1,0,1536,2,1,1,1,1,1,0,1289,419,1
15,bhowell1p,M,sbankse@unicef.org,Brazil,22,personal,814,10,0,1324,2,0,0,1,1,1,1,855,545,1
765,pmartinezjv,F,ngibsonl8@homestead.com,Philippines,24,personal,950,9,1,1655,2,1,0,1,1,1,1,988,636,1
811,prileyrh,F,pkellymi@deviantart.com,Vietnam,29,personal,297,13,12,414,1,0,1,0,1,0,0,904,184,1
660,twalkerbu,M,phowardib@rambler.ru,Guinea,28,personal,741,25,8,1950,3,1,0,1,1,1,0,2254,356,1
737,vjohnsonp6,F,tharriskg@deviantart.com,Sweden,29,personal,1403,7,3,2128,2,0,0,1,1,0,1,4278,617,1
440,srogerskh,M,gsimpsonc7@cnn.com,Poland,25,personal,1174,5,5,3057,3,0,1,0,0,0,1,3545,293,1
663,pwilliamsor,F,mpayneie@cpanel.net,Spain,28,personal,74,2,0,155,2,1,1,1,1,0,1,151,45,1
21,jstonepj,F,jpricek@engadget.com,Thailand,25,business,335,4,3,341,1,1,0,0,1,0,1,687,141,1
226,spricecn,F,jflores69@symantec.com,Indonesia,19,business,860,11,1,1476,2,1,1,0,1,0,1,2616,551,1
973,pgibsonez,F,lbishopr0@accuweather.com,Indonesia,28,personal,1725,28,0,4132,2,1,0,1,1,0,1,1759,397,1
94,pwestb1,M,ejenkins2l@newyorker.com,Germany,18,personal,120,30,6,208,2,1,0,0,1,1,1,124,34,1
105,mbishopb7,F,kmeyer2w@bizjournals.com,Greece,23,personal,1170,17,7,3100,3,1,0,1,1,1,1,1217,304,0
698,cnichols8o,F,probertsjd@fastcompany.com,Colombia,24,personal,1294,1,1,3794,3,1,0,0,1,1,0,3908,544,1
42,vhartb0,M,tweaver15@desdev.cn,Germany,30,personal,200,6,5,383,2,1,1,0,1,1,0,206,54,1
853,lrobertson7w,M,rtorresno@usa.gov,China,18,personal,339,16,6,490,2,1,0,1,1,1,0,1032,153,0
880,hmorrisonff,F,tramosof@flavors.me,Israel,26,personal,69,1,1,155,2,1,0,1,1,1,1,207,30,1
403,saustin8l,M,hthompsonb6@prnewswire.com,Colombia,19,personal,1666,2,2,4102,2,1,0,1,1,1,1,1716,1100,1
170,swhitei,M,jthompson4p@oaic.gov.au,Argentina,22,personal,2141,7,2,3248,2,1,0,0,0,1,0,2227,1392,1
729,twheelernk,F,jevansk8@ox.ac.uk,Russia,27,personal,215,11,11,250,1,1,1,1,1,1,1,224,140,1
308,wcollinsq3,F,cfreeman8j@senate.gov,Ukraine,20,personal,595,1,0,768,1,0,1,1,0,1,1,1208,375,1
714,devanslk,F,cbishopjt@wp.com,Portugal,24,personal,530,1,1,1289,2,1,0,1,1,1,0,535,249,1
2,karnold1b,F,darmstrong1@gov.uk,Belarus,23,business,336,10,2,806,2,1,0,1,1,1,0,353,77,1
52,jdixonb6,F,jcrawford1f@google.cn,Greece,22,personal,630,13,13,1736,3,0,0,1,1,1,1,1266,410,0
673,dlittlee1,F,lkingio@forbes.com,Indonesia,27,business,847,5,0,1778,2,0,0,0,1,1,0,856,407,1
744,emoore2c,F,jgilbertkn@nasa.gov,Brazil,19,personal,1486,28,22,1885,1,0,0,1,1,1,1,4503,401,1
206,dmarshallm5,M,gporter5p@salon.com,Russia,29,personal,72,23,7,82,2,0,1,0,1,1,1,221,30,1
337,rhill9n,M,pharvey9c@furl.net,Ecuador,22,personal,582,22,6,649,1,1,0,1,1,1,0,1757,384,1
279,aburtonmf,M,lwood7q@bbc.co.uk,Russia,19,business,750,28,3,1327,2,1,0,1,1,1,0,1537,360,1
347,aalvarezcy,F,jwest9m@com.com,Indonesia,27,personal,753,11,3,1239,2,0,1,1,0,1,1,1536,512,0
824,lgarza7p,F,hvasquezmv@wunderground.com,China,26,personal,316,12,8,355,1,0,1,0,1,1,0,332,209,1
374,cleebf,F,phendersonad@hibu.com,Greece,25,personal,420,31,27,464,1,1,0,1,1,1,0,845,88,0
978,lgilbert35,M,jwestr5@g.co,Canada,27,personal,879,31,25,886,1,1,0,1,1,1,0,2663,545,1
661,wcollins6z,F,mtuckeric@japanpost.jp,China,19,business,2094,8,7,3081,1,0,0,0,1,1,0,6302,523,1
584,ajohnsonle,M,achavezg7@ca.gov,Portugal,20,personal,65,4,3,123,2,1,0,0,0,0,1,196,41,0
29,eporter3i,F,ckings@mail.ru,China,20,personal,227,31,19,229,1,1,0,1,1,0,1,459,154,0
843,slawrenceof,F,awheelerne@wsj.com,Slovenia,22,personal,2214,6,4,6527,3,1,0,0,1,0,0,4472,1041,1
527,ayoungp3,M,celliottem@redcross.org,Sweden,25,personal,300,10,6,541,2,1,0,0,1,1,1,915,129,0
699,jgraham73,M,ngreeneje@state.gov,China,30,personal,345,2,1,361,1,0,0,0,0,1,1,708,79,1
89,nryanfk,F,jchapman2g@uol.com.br,Jamaica,22,personal,1603,16,14,2309,1,1,0,0,1,1,1,1683,433,1
239,grobinson4n,M,dromero6m@google.pl,China,29,personal,1024,19,3,2360,2,1,1,1,1,1,1,1044,655,0
251,tgarcia4u,F,tharvey6y@microsoft.com,China,24,personal,646,16,0,1278,2,0,0,0,1,1,1,652,265,0
303,dweaverr7,F,nrogers8e@pbs.org,Venezuela,20,personal,85,27,18,72,1,1,0,1,1,1,0,88,38,0
314,dgriffincv,M,bberry8p@google.co.jp,Indonesia,22,personal,409,20,11,484,1,0,1,0,1,0,1,823,274,1
650,egranti6,F,dpetersoni1@ustream.tv,Oman,30,personal,1668,1,1,4212,3,1,0,1,1,1,1,3419,1051,0
107,madams3w,M,wellis2y@alexa.com,China,22,personal,2193,3,0,3787,2,1,0,1,1,0,0,6644,899,1
200,malvarezpm,M,chamilton5j@webs.com,Thailand,30,business,57,19,9,40,1,1,0,1,1,0,0,60,26,1
371,ewardd3,M,jelliottaa@accuweather.com,Indonesia,26,personal,663,5,0,1744,3,1,1,0,1,1,1,1994,166,1
416,lortiz5m,F,ewatsonbj@discuz.net,China,22,personal,269,27,13,397,2,1,0,0,1,1,1,820,124,1
735,rpattersong5,M,jgrahamke@seattletimes.com,Kazakhstan,18,personal,2454,29,16,4078,2,1,0,0,1,1,1,7411,1546,1
907,jwoodsx,F,gsanchezp6@tinypic.com,Argentina,23,personal,1517,4,3,2094,1,1,0,1,1,0,1,1532,319,1
872,tkelleyeo,M,rwheelero7@wired.com,Indonesia,22,personal,247,12,3,699,3,1,1,1,1,1,0,255,114,1
128,jgordong,M,jthompson3j@joomla.org,Argentina,18,business,340,26,11,634,2,1,0,1,1,0,1,347,228,1
741,pfisherkp,F,jrobertsonkk@ibm.com,Poland,20,personal,660,30,12,1867,3,1,0,1,1,0,0,2014,271,1
153,smyersip,F,bsims48@etsy.com,Peru,24,business,686,2,2,1766,3,1,0,0,1,1,1,2072,322,1
179,bcoleman9y,M,bwillis4y@exblog.jp,Ethiopia,30,personal,2477,4,1,5984,2,1,0,1,1,1,1,2502,1586,1
573,ssimpsonld,F,bgarciafw@discovery.com,Portugal,24,personal,1404,20,11,3875,3,1,0,1,1,1,0,1474,674,1
705,bjordanb4,F,jfordjk@blogtalkradio.com,Ghana,27,personal,955,25,3,1451,2,1,0,0,0,1,1,2911,229,1
601,wcox26,M,ehowellgo@sourceforge.net,Brazil,22,personal,1294,10,2,1648,1,1,1,1,1,1,0,1307,880,1
34,mcook3k,M,wcruzx@rediff.com,China,21,personal,32,21,3,20,2,1,0,1,1,1,1,65,21,1
517,dkennedyh3,M,mwatsonec@fotki.com,Mexico,26,personal,490,26,16,1397,3,1,0,1,1,1,1,1000,226,1
208,rshawck,M,hwoods5r@odnoklassniki.ru,Indonesia,27,personal,647,5,0,1272,2,1,0,0,1,1,0,1300,401,1
894,bjordanie,F,lfernandezot@ed.gov,Pakistan,30,business,241,9,6,607,3,1,0,1,1,0,1,489,65,0
819,kperryp9,F,mstanleymq@flickr.com,Sweden,23,personal,1611,12,9,1683,1,1,0,1,1,0,1,4912,773,1
873,msnyder7x,M,emoraleso8@amazon.de,China,30,personal,650,8,4,867,1,0,1,1,1,1,1,1982,403,0
731,cwelchh6,F,mriveraka@1688.com,Mexico,29,personal,389,9,2,532,1,1,0,1,1,1,0,789,167,0
695,rwagner72,F,lmeyerja@jugem.jp,China,18,personal,1291,22,17,1749,1,1,0,0,1,1,1,1343,542,1
776,jellis8,M,afreemanlj@fda.gov,Albania,22,personal,347,9,7,514,2,1,0,0,1,1,1,365,149,1
941,jgrayls,F,jblackq4@pcworld.com,Portugal,27,personal,967,13,3,2182,2,1,0,1,1,1,1,996,416,1
121,eelliottbv,F,ariley3c@wisc.edu,Haiti,20,personal,969,29,16,1228,1,1,0,1,1,1,1,1008,271,1
66,rpaynek6,F,esimpson1t@51.la,Poland,20,business,801,6,1,1471,2,1,0,1,1,1,1,1627,337,1
771,sramirezkr,F,kstevensle@php.net,Poland,27,personal,1086,28,5,2620,2,1,0,1,1,1,0,2184,467,1
566,jfrazierqv,M,ahawkinsfp@marketwatch.com,United States,21,business,1010,11,10,2747,3,0,0,1,0,1,0,1060,636,1
364,ehillcz,M,bhansona3@acquirethisname.com,Indonesia,21,personal,2054,16,11,4217,2,1,0,0,0,1,1,6244,842,1
171,jperezm4,F,pdunn4q@issuu.com,Russia,19,personal,571,24,11,1497,3,1,0,1,1,0,0,600,143,1
998,tfergusonl1,F,mcookrp@liveinternet.ru,Poland,28,business,287,8,7,308,1,1,0,0,1,0,1,301,121,0
58,rwagnerby,F,kkim1l@wsj.com,Honduras,24,personal,395,6,6,539,1,1,0,1,0,1,1,1205,103,1
505,ddunni0,M,rchaveze0@google.de,Nigeria,22,personal,356,23,4,784,2,1,0,0,1,1,0,359,85,1
684,bthomasfx,M,jfloresiz@cyberchimps.com,Japan,30,personal,979,26,2,1311,1,0,0,1,1,1,1,2948,451,0
655,jstanley6y,F,dfieldsi6@weibo.com,China,30,personal,1240,22,14,1546,1,0,0,0,0,1,1,1289,818,0
235,dtucker4l,M,awells6i@freewebs.com,China,22,business,1281,6,6,1322,1,1,0,0,1,1,0,1319,845,1
754,holsone6,F,mandrewskx@about.me,Indonesia,26,personal,2049,4,0,2544,1,1,0,1,1,0,1,4180,574,1
560,jandersonbh,M,pstephensfj@desdev.cn,Greece,29,personal,920,5,3,1620,2,1,0,1,1,0,1,1876,561,1
329,emeyerbq,F,trussell94@abc.net.au,Guatemala,30,business,812,3,1,2118,3,0,0,0,1,1,1,2453,333,1
874,jhughesgq,M,jrodriguezo9@forbes.com,Madagascar,30,personal,1374,23,5,1934,1,0,0,1,1,1,1,1442,838,1
726,mjordane4,F,afernandezk5@vinaora.com,Indonesia,27,personal,73,26,12,47,1,1,0,1,1,1,1,76,48,1
572,dpricegh,F,jaustinfv@imgur.com,Lithuania,20,personal,356,4,1,646,2,1,0,1,1,1,1,374,242,1
73,jporterqh,M,dwashington20@sina.com.cn,United States,24,personal,682,22,12,1662,3,0,1,1,1,1,1,689,457,0
794,rrose1e,M,srichardsonm1@scribd.com,Belarus,24,personal,603,29,19,839,1,1,0,0,1,1,1,1840,290,1
278,jsanchezme,F,ehunter7p@mac.com,Russia,19,personal,1419,2,2,3003,2,1,1,1,1,1,0,2909,639,1
137,jlawrenceik,M,aoliver3s@time.com,Panama,30,personal,1919,7,0,4434,2,1,0,1,1,0,0,3895,461,1
953,hholmes8a,M,astanleyqg@army.mil,China,27,personal,279,27,15,560,2,0,0,0,1,1,1,572,128,0
950,vburnsgc,M,bharperqd@dell.com,Latvia,30,business,87,19,12,80,1,1,0,0,1,1,1,264,20,1
835,mburtonf8,F,lmedinan6@lycos.com,Iran,19,personal,518,8,3,765,1,1,0,1,1,1,1,538,347,0
339,ntorresjh,F,akelley9e@51.la,Philippines,29,personal,2116,22,16,3566,2,1,1,1,1,1,1,6411,1354,0
290,lreedmh,F,aray81@comsenz.com,Russia,25,business,809,23,16,2060,3,1,0,0,1,1,0,2452,194,0
396,fgreend5,F,nbanksaz@miitbeian.gov.cn,Indonesia,28,personal,179,19,19,283,2,0,0,0,1,1,0,185,41,1
783,ejohnson7i,M,hhalllq@techcrunch.com,China,30,business,571,30,22,838,2,1,0,0,1,0,1,599,388,1
271,jreynolds1u,F,kbutler7i@wiley.com,Brazil,30,personal,1196,14,9,1258,1,1,1,0,1,1,1,1256,766,0
455,tharrison5w,M,jjonescm@photobucket.com,China,29,personal,1716,19,3,3113,2,1,0,1,1,0,1,1733,360,1
544,elittle24,M,swheelerf3@hhs.gov,Brazil,19,personal,843,28,6,1830,2,1,1,1,1,1,0,2554,236,1
772,bfernandezks,M,pcampbelllf@cisco.com,Poland,22,personal,545,2,0,1606,3,0,0,1,1,1,1,1112,136,1
183,cmorrison1t,M,ajacobs52@dyndns.org,Brazil,25,personal,184,15,2,453,3,1,0,1,1,1,1,375,46,1
14,jhill1o,M,vpayned@desdev.cn,Brazil,18,personal,444,20,2,569,1,0,1,0,1,0,0,1356,209,1
17,drileyk5,M,pjohnstong@earthlink.net,Poland,25,personal,622,14,7,1009,2,1,0,1,1,1,0,1897,155,1
740,bwagner11,F,rhawkinskj@shutterfly.com,Armenia,27,personal,190,20,19,197,1,0,0,1,1,0,1,191,45,1
842,ejohnsonlp,F,sandrewsnd@forbes.com,Portugal,21,personal,205,10,7,528,3,0,1,0,0,0,1,417,92,1
157,lrichards47,M,jjohnson4c@aboutads.info,China,27,personal,1503,28,0,2802,2,1,1,1,1,0,1,1548,691,1
215,rgeorgehw,F,kschmidt5y@blogtalkradio.com,Nigeria,27,business,1024,19,13,2098,2,1,0,0,1,0,1,3082,625,1
719,pbaileyf7,M,dcarpenterjy@marriott.com,Iran,26,business,602,8,3,1099,2,1,1,0,1,0,1,620,289,1
610,sarmstrong6s,M,breyesgx@tmall.com,China,19,personal,275,8,6,427,2,1,0,1,1,0,1,834,187,1
692,aknightjt,F,bbradleyj7@dropbox.com,Philippines,24,personal,98,7,2,140,2,1,0,0,1,1,1,202,60,1
704,sreedrg,M,jstevensjj@census.gov,Vietnam,25,personal,892,6,2,1295,1,1,0,1,1,1,1,2711,580,0
529,asullivanmz,F,lrusselleo@1wire.com,Russia,25,personal,865,7,5,2139,2,1,0,0,1,1,0,2620,381,1
869,lmyersjx,F,nwatkinso4@vistaprint.com,Philippines,21,personal,370,14,0,967,3,1,1,0,1,1,0,1127,225,1
124,krichardshl,F,lstone3f@hhs.gov,Nepal,28,personal,1784,16,5,5114,3,1,0,1,1,1,0,5387,1088,0
220,candersoncm,M,smccoy63@chron.com,Indonesia,24,personal,763,23,13,1708,2,1,0,1,1,1,1,2311,343,1
877,jharveybm,F,dmitchelloc@uiuc.edu,Greece,19,personal,1271,28,14,2062,2,1,0,1,1,1,1,2568,864,1
213,jreynoldsox,F,sturner5w@e-recht24.de,Sweden,25,personal,1837,3,2,2320,1,1,0,0,0,1,0,5529,514,1
523,rrobinson6d,M,gmorganei@amazon.de,China,19,personal,786,28,17,1021,1,1,1,1,1,1,1,1587,322,1
859,lsullivan34,F,tharrisonnu@weather.com,Canada,24,personal,1465,7,6,4184,3,0,1,1,0,1,1,4468,689,1
323,acoxig,F,sperez8y@oaic.gov.au,Palestinian Territory,24,personal,1472,21,20,2799,2,1,0,1,1,1,0,4444,677,1
666,tjacobs9i,F,tfieldsih@ucoz.com,Dominican Republic,18,business,1839,17,7,4384,2,1,0,1,1,1,0,5610,1140,1
716,bstevensju,F,imendozajv@i2i.jp,Philippines,30,personal,954,29,28,1684,2,0,0,1,1,1,1,1946,258,0
131,lalvarezhn,M,brichards3m@360.cn,Netherlands,29,business,611,16,12,1008,2,0,0,0,1,1,0,1241,135,1
778,preynolds7g,M,bhunterll@census.gov,China,28,personal,1393,19,6,1656,1,0,0,1,1,1,1,4235,334,1
230,rhicksco,F,mgreen6d@free.fr,Indonesia,24,personal,169,22,0,307,2,0,1,0,1,1,1,510,47,1
590,ppierce93,M,pdaygd@networkadvertising.org,Czech Republic,26,personal,1934,11,3,4306,2,1,0,1,1,1,0,3946,909,1
556,jwatkinsou,F,volsonff@123-reg.co.uk,Sudan,19,business,875,29,3,2133,3,1,0,1,1,1,0,1776,184,1
701,jfranklin74,M,jpricejg@dailymail.co.uk,China,24,personal,87,4,0,204,2,0,1,1,0,1,1,265,20,0
10,jgordon1n,F,tflores9@hostgator.com,Brazil,20,personal,633,1,0,1359,2,0,1,0,1,1,0,1912,272,1
491,vgutierrez67,F,nryandm@jugem.jp,China,24,personal,949,30,19,1009,1,1,0,1,1,1,0,1935,645,0
338,mmills5a,M,fscott9d@nbcnews.com,China,26,personal,1282,20,7,2032,2,1,0,1,1,1,0,2602,538,1
197,mwoodi9,M,cjordan5g@bravesites.com,Pakistan,24,business,2339,15,13,6858,3,0,0,0,1,1,0,4772,491,1
27,tmurphyj0,F,lburtonq@miibeian.gov.cn,Philippines,30,personal,171,23,2,418,3,1,0,0,0,0,1,346,114,0
678,wjordanot,M,pcarterit@washingtonpost.com,Sri Lanka,19,personal,600,12,10,1102,2,1,0,1,1,0,1,1806,270,0
317,jwood91,F,hjames8s@technorati.com,Czech Republic,28,personal,403,4,2,565,1,1,0,0,1,0,0,826,165,1
395,rcrawford5k,M,lrayay@hugedomains.com,China,26,personal,546,7,6,724,1,1,0,0,1,1,1,573,333,0
101,ewest1c,F,kwelch2s@biglobe.ne.jp,Belarus,29,personal,671,16,6,1304,2,0,0,0,0,1,1,691,436,1
844,hreed7u,M,jpaynenf@columbia.edu,China,19,personal,50,12,7,73,2,1,0,0,1,1,1,153,12,1
210,jjohnstoncl,F,tcunningham5t@ezinearticles.com,Indonesia,19,personal,521,1,0,1114,2,1,1,1,1,1,1,1578,141,0
370,sthomasd2,M,rruiza9@ox.ac.uk,Indonesia,22,personal,1041,28,0,1919,2,0,0,0,1,1,1,3153,219,0
761,dwilsone8,F,afloresl4@123-reg.co.uk,Indonesia,19,personal,1086,9,3,2671,2,1,0,1,1,1,0,3278,478,0
900,jcoxhp,F,rreedoz@cyberchimps.com,Netherlands,22,personal,784,14,6,922,1,0,1,0,1,0,1,816,188,1
939,ahansen9w,F,tstoneq2@hud.gov,Estonia,18,personal,53,14,8,46,1,1,0,1,1,1,1,160,15,0
461,dcunninghammw,F,smitchellcs@ifeng.com,Russia,23,personal,103,3,0,300,3,1,0,1,1,0,0,312,50,1
974,mmendozakz,F,jowensr1@acquirethisname.com,Poland,21,business,1077,26,7,1488,1,1,0,1,1,0,0,3254,700,1
325,gmorris56,M,mbishop90@bravesites.com,China,20,personal,191,2,1,525,3,1,1,0,1,1,1,198,118,1
612,bmorrisonrl,M,dgrantgz@arizona.edu,Yemen,21,personal,769,7,6,1223,2,1,0,0,1,1,1,1560,469,1
288,wwellsmg,M,cchapman7z@bing.com,Russia,19,personal,1542,19,7,4491,3,1,0,0,1,1,1,3162,416,1
503,pbryantlb,F,mwatsondy@ocn.ne.jp,Portugal,28,personal,2327,13,11,5438,2,1,0,1,1,0,1,2350,1001,1
219,cmills4h,M,garmstrong62@ezinearticles.com,China,20,personal,1293,11,3,1757,1,1,1,1,1,1,0,3932,336,1
182,rhenderson1d,M,jevans51@boston.com,Belarus,22,business,465,8,8,1067,2,1,0,1,1,0,1,940,219,1
528,dscottdl,M,cbradleyen@list-manage.com,Indonesia,26,personal,1048,5,2,1763,2,1,0,1,1,0,0,1069,681,1
119,jkellyoo,F,dgomez3a@php.net,Spain,23,business,58,23,12,74,2,1,0,0,1,1,1,119,16,1
930,jtorres2o,M,dgreenpt@eepurl.com,Brazil,28,personal,108,9,2,236,2,1,0,1,1,1,1,220,50,1
378,sjohnsonb,F,blittleah@ihg.com,Angola,30,personal,910,19,15,2631,3,1,0,1,1,1,0,928,200,1
23,jgarrett1i,F,cfreemanm@ask.com,Bosnia and Herzegovina,23,personal,1630,25,24,3405,2,1,0,0,0,1,1,1662,1076,1
618,alawrenceha,F,areynoldsh5@furl.net,Moldova,19,personal,2087,20,1,2119,1,1,1,1,1,1,0,2170,1273,1
397,smeyer5l,F,jmorrisb0@4shared.com,China,26,personal,1743,29,21,2506,1,1,0,1,1,1,1,5298,418,1
78,lwebbfc,M,arogers25@statcounter.com,Ireland,23,personal,589,3,0,1671,3,1,0,1,1,1,1,1796,124,1
889,cschmidtjz,M,gmurrayoo@reverbnation.com,Philippines,20,personal,304,18,15,439,2,1,0,0,1,1,0,927,185,1
882,dwatsonep,M,wdiazoh@zdnet.com,Indonesia,30,business,609,3,0,1803,3,1,0,1,1,0,1,622,414,0
242,tharper4o,F,lwillis6p@cafepress.com,China,22,personal,1145,20,7,3033,3,1,0,1,1,0,1,2336,527,1
430,fmcdonaldqp,F,jduncanbx@vistaprint.com,United States,24,personal,650,4,0,1248,2,0,1,1,1,1,1,1307,416,0
